activity_id,lead_id,activity_type,activity_date,activity_status,notes
39,1900,Site Visit,2025-07-21,Completed,Scheduled follow-up call.
40,1268,Site Visit,2025-12-04,Completed,No response from customer.
41,2880,WhatsApp,2025-04-19,Completed,No response from customer.
42,1529,Email,2025-11-07,Pending,No response from customer.
43,647,SMS,2025-07-22,Completed,No response from customer.
44,2069,Site Visit,2025-03-01,Failed,Scheduled follow-up call.
45,2889,SMS,2025-06-20,Pending,Scheduled follow-up call.
46,2215,Follow-up,2025-05-23,Pending,Scheduled follow-up call.
47,1298,WhatsApp,2026-04-11,Pending,Discussed budget and preferred location.
48,2436,WhatsApp,2026-01-28,Completed,Discussed budget and preferred location.
49,601,Email,2026-02-05,Completed,Sent lease and booking information.
50,2364,Site Visit,2025-07-23,Pending,Discussed budget and preferred location.
51,2062,Follow-up,2025-01-19,Failed,Customer requested more details.
52,242,Call,2025-04-21,Completed,Shared available property options.
53,2042,Document Shared,2025-01-29,Completed,Customer requested more details.
54,2825,Document Shared,2025-11-26,Failed,No response from customer.
55,2613,Site Visit,2025-09-21,Pending,Shared available property options.
56,2946,Follow-up,2026-06-14,Pending,No response from customer.
57,1364,Document Shared,2025-02-27,Failed,Scheduled follow-up call.
58,2140,Call,2025-11-28,Failed,Discussed budget and preferred location.
59,1391,Email,2026-06-20,Failed,Sent lease and booking information.
60,1479,Follow-up,2025-09-10,Completed,Sent lease and booking information.
61,2557,SMS,2025-04-16,Pending,No response from customer.
62,776,Call,2025-08-04,Pending,No response from customer.
63,35,Document Shared,2025-05-18,Completed,Sent lease and booking information.
64,2254,Site Visit,2025-01-26,Completed,Discussed budget and preferred location.
65,1956,Email,2026-04-10,Completed,Discussed budget and preferred location.
66,1586,SMS,2025-10-03,Failed,Discussed budget and preferred location.
67,1022,Email,2025-10-09,Pending,Shared available property options.
68,2614,Call,2026-04-25,Failed,Customer requested more details.
69,1130,SMS,2025-09-29,Pending,Customer requested more details.
70,1501,Email,2025-06-02,Pending,Discussed budget and preferred location.
71,703,Site Visit,2025-06-15,Pending,Scheduled follow-up call.
72,2450,Follow-up,2025-01-17,Completed,Sent lease and booking information.
73,2778,Call,2025-11-22,Completed,Discussed budget and preferred location.
74,1580,Site Visit,2025-06-26,Pending,Sent lease and booking information.
75,162,Follow-up,2025-05-23,Failed,Shared available property options.
76,202,Email,2025-02-21,Pending,Sent lease and booking information.
77,1982,Follow-up,2026-05-11,Pending,Scheduled follow-up call.
78,996,Call,2026-02-25,Failed,No response from customer.
79,2318,WhatsApp,2025-05-20,Completed,Scheduled follow-up call.
80,816,Follow-up,2025-12-14,Completed,No response from customer.
81,456,Email,2025-11-07,Completed,Sent lease and booking information.
82,1276,Document Shared,2025-03-02,Pending,No response from customer.
83,1017,SMS,2026-07-08,Failed,Customer requested more details.
84,2344,Site Visit,2025-04-29,Completed,No response from customer.
85,2768,Email,2025-10-08,Pending,Scheduled follow-up call.
86,338,Site Visit,2025-09-03,Completed,Scheduled follow-up call.
87,879,Email,2025-10-10,Completed,Discussed budget and preferred location.
88,1077,WhatsApp,2025-12-10,Completed,Scheduled follow-up call.
89,792,WhatsApp,2026-02-06,Failed,Discussed budget and preferred location.
90,2265,Call,2026-05-09,Failed,Shared available property options.
91,764,Site Visit,2025-06-28,Failed,Discussed budget and preferred location.
92,2236,WhatsApp,2025-09-29,Completed,Customer requested more details.
93,380,Call,2026-04-08,Failed,Customer requested more details.
94,493,Email,2025-09-25,Pending,Shared available property options.
95,1181,Follow-up,2026-04-08,Pending,Customer requested more details.
96,2063,Email,2026-02-12,Pending,Shared available property options.
97,65,Follow-up,2026-03-24,Pending,Customer requested more details.
98,2569,Follow-up,2025-10-02,Completed,Customer requested more details.
99,1368,Site Visit,2025-02-27,Pending,Sent lease and booking information.
100,1153,SMS,2025-10-23,Pending,Discussed budget and preferred location.
101,2028,Follow-up,2025-04-17,Completed,Customer requested more details.
102,2696,Follow-up,2026-02-22,Failed,Shared available property options.
103,1496,Call,2026-06-19,Failed,Scheduled follow-up call.
104,1163,WhatsApp,2026-03-01,Failed,Sent lease and booking information.
105,1523,Site Visit,2026-04-23,Completed,Discussed budget and preferred location.
106,2641,Email,2025-03-13,Completed,No response from customer.
107,392,WhatsApp,2025-06-03,Completed,Shared available property options.
108,1699,WhatsApp,2025-05-25,Failed,Discussed budget and preferred location.
109,419,WhatsApp,2025-11-18,Completed,Customer requested more details.
110,2337,WhatsApp,2025-11-28,Completed,Customer requested more details.
111,379,Email,2026-05-30,Completed,No response from customer.
112,1797,Call,2025-01-20,Completed,Shared available property options.
113,2279,Email,2025-11-06,Completed,Discussed budget and preferred location.
114,2089,Email,2026-01-29,Completed,Sent lease and booking information.
115,2183,Document Shared,2026-02-05,Completed,Discussed budget and preferred location.
116,201,Call,2025-08-15,Pending,No response from customer.
117,1864,Follow-up,2026-05-10,Completed,Sent lease and booking information.
118,780,Site Visit,2026-03-17,Pending,Discussed budget and preferred location.
119,2978,Document Shared,2026-06-06,Completed,Discussed budget and preferred location.
120,503,Call,2026-03-02,Failed,Sent lease and booking information.
121,2455,Email,2025-06-09,Completed,Discussed budget and preferred location.
122,1752,Document Shared,2026-05-28,Completed,Discussed budget and preferred location.
123,805,Site Visit,2026-03-26,Pending,Shared available property options.
124,2147,Site Visit,2026-05-02,Failed,Customer requested more details.
125,2732,Site Visit,2026-01-15,Pending,Customer requested more details.
126,1896,Email,2025-04-18,Failed,Discussed budget and preferred location.
127,2774,Email,2025-10-12,Completed,Sent lease and booking information.
128,1571,Follow-up,2025-12-11,Pending,Sent lease and booking information.
129,961,Follow-up,2025-07-03,Failed,Discussed budget and preferred location.
130,2661,Follow-up,2025-06-03,Pending,No response from customer.
131,1486,Site Visit,2025-11-16,Pending,Scheduled follow-up call.
132,2691,Follow-up,2026-04-12,Pending,Customer requested more details.
133,1029,Site Visit,2026-01-15,Pending,Sent lease and booking information.
134,503,Email,2026-02-10,Pending,Shared available property options.
135,2815,Site Visit,2025-11-29,Completed,Shared available property options.
136,398,SMS,2025-06-05,Pending,Discussed budget and preferred location.
137,871,Call,2025-07-13,Failed,Customer requested more details.
138,2843,Follow-up,2025-07-31,Pending,Scheduled follow-up call.
139,393,Follow-up,2025-11-21,Failed,Scheduled follow-up call.
140,207,Call,2025-05-14,Failed,Scheduled follow-up call.
141,1039,SMS,2025-02-10,Completed,No response from customer.
142,1882,Email,2025-03-19,Pending,Scheduled follow-up call.
143,2940,Email,2025-05-22,Pending,No response from customer.
144,1485,Follow-up,2026-06-27,Failed,Scheduled follow-up call.
145,864,Call,2025-06-29,Completed,Sent lease and booking information.
146,2791,Site Visit,2025-05-16,Completed,No response from customer.
147,564,WhatsApp,2025-10-19,Completed,Discussed budget and preferred location.
148,1021,Follow-up,2026-01-27,Pending,Scheduled follow-up call.
149,96,SMS,2026-05-05,Completed,Discussed budget and preferred location.
150,1924,Site Visit,2026-04-19,Failed,No response from customer.
151,1758,WhatsApp,2026-01-13,Pending,No response from customer.
152,2533,Follow-up,2025-05-14,Completed,Sent lease and booking information.
153,2279,Follow-up,2025-11-08,Completed,Scheduled follow-up call.
154,2797,WhatsApp,2026-05-12,Pending,Customer requested more details.
155,1679,Email,2025-10-22,Failed,Sent lease and booking information.
156,541,Follow-up,2025-04-30,Pending,Customer requested more details.
157,1060,Email,2025-12-02,Pending,Shared available property options.
158,2573,SMS,2025-10-12,Pending,Sent lease and booking information.
159,1184,Document Shared,2026-02-03,Failed,Discussed budget and preferred location.
160,1723,Document Shared,2025-12-29,Failed,Discussed budget and preferred location.
161,1820,Email,2025-10-24,Completed,Sent lease and booking information.
162,2626,Site Visit,2025-11-04,Pending,Scheduled follow-up call.
163,2730,WhatsApp,2025-07-27,Failed,Shared available property options.
164,2605,WhatsApp,2026-01-30,Failed,No response from customer.
165,1598,Document Shared,2025-07-20,Failed,Scheduled follow-up call.
166,2694,Follow-up,2025-10-08,Completed,Customer requested more details.
167,796,Site Visit,2026-03-28,Completed,No response from customer.
168,1052,Call,2025-06-30,Pending,Discussed budget and preferred location.
169,1644,SMS,2025-08-31,Pending,Scheduled follow-up call.
170,1364,Site Visit,2025-03-04,Failed,Customer requested more details.
171,1982,Document Shared,2026-05-18,Failed,Shared available property options.
172,1355,Follow-up,2025-06-21,Completed,Customer requested more details.
173,1664,WhatsApp,2025-09-04,Completed,Sent lease and booking information.
174,1530,Call,2025-12-24,Pending,No response from customer.
175,2039,Document Shared,2025-09-02,Failed,Scheduled follow-up call.
176,1497,SMS,2025-08-01,Completed,Scheduled follow-up call.
177,2238,Document Shared,2026-02-26,Pending,Discussed budget and preferred location.
178,1409,Email,2025-06-23,Completed,Customer requested more details.
179,1401,Follow-up,2025-07-08,Pending,Customer requested more details.
180,1307,Follow-up,2025-07-12,Failed,Discussed budget and preferred location.
181,2681,WhatsApp,2025-02-16,Pending,Shared available property options.
182,2676,Site Visit,2026-04-30,Failed,Sent lease and booking information.
183,973,Email,2025-09-25,Completed,No response from customer.
184,1769,Email,2026-04-30,Pending,No response from customer.
185,1283,Follow-up,2025-02-12,Pending,Discussed budget and preferred location.
186,710,Email,2025-09-16,Completed,Discussed budget and preferred location.
187,1480,WhatsApp,2025-03-18,Failed,Sent lease and booking information.
188,1435,SMS,2025-07-17,Completed,Shared available property options.
189,649,Email,2025-07-29,Pending,Customer requested more details.
190,318,Email,2026-01-21,Pending,Scheduled follow-up call.
191,1258,WhatsApp,2025-01-12,Failed,Customer requested more details.
192,684,Site Visit,2025-09-27,Completed,No response from customer.
193,664,Document Shared,2025-08-08,Pending,Customer requested more details.
194,1999,Document Shared,2025-11-06,Completed,Scheduled follow-up call.
195,1632,Site Visit,2026-03-15,Pending,Discussed budget and preferred location.
196,1496,Site Visit,2026-06-13,Failed,No response from customer.
197,1137,Email,2025-04-19,Pending,Discussed budget and preferred location.
198,1854,Follow-up,2025-02-28,Failed,Customer requested more details.
199,1521,WhatsApp,2026-02-12,Pending,Scheduled follow-up call.
200,2490,Follow-up,2026-05-10,Completed,Sent lease and booking information.
201,564,Site Visit,2025-10-23,Pending,Discussed budget and preferred location.
202,1292,SMS,2026-02-28,Pending,Customer requested more details.
203,1637,WhatsApp,2025-09-02,Pending,No response from customer.
204,3000,Follow-up,2025-02-08,Pending,Scheduled follow-up call.
205,699,WhatsApp,2025-11-28,Pending,Sent lease and booking information.
206,2161,Site Visit,2025-07-25,Failed,Scheduled follow-up call.
207,2,SMS,2025-03-02,Completed,Shared available property options.
208,642,Email,2025-12-16,Pending,Sent lease and booking information.
209,2268,Call,2026-01-27,Failed,Sent lease and booking information.
210,1590,Call,2025-01-10,Completed,No response from customer.
211,855,Document Shared,2025-10-07,Failed,Customer requested more details.
212,1760,Call,2025-07-11,Failed,Shared available property options.
213,2433,Site Visit,2025-12-30,Failed,Shared available property options.
214,1662,Email,2025-01-05,Completed,No response from customer.
215,1154,Document Shared,2025-10-01,Pending,Customer requested more details.
216,1077,Follow-up,2025-12-05,Pending,Customer requested more details.
217,1708,Follow-up,2026-03-15,Completed,Sent lease and booking information.
218,2778,Follow-up,2025-11-30,Completed,Customer requested more details.
219,1696,Call,2025-02-09,Failed,Customer requested more details.
220,1734,Site Visit,2026-03-18,Completed,Shared available property options.
221,1440,Follow-up,2025-05-11,Pending,Discussed budget and preferred location.
222,2295,WhatsApp,2025-11-08,Failed,Scheduled follow-up call.
223,836,Call,2026-06-26,Pending,No response from customer.
224,203,Site Visit,2025-07-17,Pending,Discussed budget and preferred location.
225,123,Follow-up,2026-01-15,Pending,Customer requested more details.
226,401,SMS,2025-03-02,Completed,Shared available property options.
227,767,Site Visit,2025-12-12,Failed,Scheduled follow-up call.
228,294,WhatsApp,2026-01-06,Pending,Discussed budget and preferred location.
229,2328,Email,2025-07-28,Completed,Shared available property options.
230,2932,SMS,2026-01-11,Pending,Customer requested more details.
231,198,Document Shared,2025-12-31,Completed,Customer requested more details.
232,1931,Document Shared,2025-10-05,Failed,Discussed budget and preferred location.
233,2800,Email,2026-04-07,Pending,Shared available property options.
234,2192,WhatsApp,2025-05-01,Failed,Sent lease and booking information.
235,609,Email,2025-10-08,Completed,Discussed budget and preferred location.
236,1148,Email,2025-06-14,Failed,Sent lease and booking information.
237,187,Email,2026-03-01,Completed,No response from customer.
238,2512,Call,2025-05-13,Completed,Shared available property options.
239,1795,Call,2025-10-28,Failed,Discussed budget and preferred location.
240,660,Follow-up,2026-04-03,Failed,Discussed budget and preferred location.
241,2812,WhatsApp,2025-09-03,Failed,Sent lease and booking information.
242,1956,Follow-up,2026-04-19,Completed,No response from customer.
243,2451,WhatsApp,2025-02-09,Completed,Shared available property options.
244,1370,Call,2025-10-17,Failed,Scheduled follow-up call.
245,1987,Site Visit,2025-02-16,Failed,No response from customer.
246,1535,WhatsApp,2025-12-03,Failed,Sent lease and booking information.
247,147,Follow-up,2025-01-22,Pending,Shared available property options.
248,2912,Document Shared,2025-11-23,Failed,Customer requested more details.
249,1735,SMS,2026-03-25,Failed,Shared available property options.
250,1844,SMS,2025-11-04,Pending,Customer requested more details.
251,489,Document Shared,2026-06-05,Pending,Shared available property options.
252,2977,Email,2025-10-10,Completed,Discussed budget and preferred location.
253,1960,Follow-up,2025-01-21,Completed,Scheduled follow-up call.
254,1664,Call,2025-08-20,Pending,No response from customer.
255,2599,Document Shared,2025-09-15,Completed,Shared available property options.
256,2386,Follow-up,2025-07-26,Completed,Scheduled follow-up call.
257,2920,Follow-up,2026-05-29,Failed,Discussed budget and preferred location.
258,641,Email,2026-02-11,Failed,Sent lease and booking information.
259,1803,Document Shared,2025-06-10,Completed,Sent lease and booking information.
260,2521,Call,2025-12-28,Completed,Discussed budget and preferred location.
261,1970,Email,2026-01-07,Failed,Scheduled follow-up call.
262,2199,Call,2025-04-29,Pending,No response from customer.
263,1439,Call,2026-06-03,Failed,Customer requested more details.
264,1635,SMS,2025-05-19,Completed,Scheduled follow-up call.
265,263,SMS,2025-01-28,Pending,Customer requested more details.
266,1788,Email,2025-06-01,Pending,Discussed budget and preferred location.
267,2192,Call,2025-05-27,Failed,Scheduled follow-up call.
268,2394,Email,2025-11-24,Failed,No response from customer.
269,624,Email,2025-04-15,Pending,No response from customer.
270,1017,Call,2026-06-18,Pending,Shared available property options.
271,881,Email,2025-10-31,Pending,Scheduled follow-up call.
272,2050,WhatsApp,2025-09-23,Failed,Shared available property options.
273,2945,Email,2026-05-20,Failed,Sent lease and booking information.
274,1328,SMS,2025-08-29,Pending,Customer requested more details.
275,2302,Call,2026-01-23,Completed,Sent lease and booking information.
276,453,SMS,2025-10-28,Failed,Discussed budget and preferred location.
277,1184,Call,2026-03-06,Failed,Shared available property options.
278,2057,Call,2025-07-04,Failed,Shared available property options.
279,1683,Site Visit,2025-11-08,Completed,Scheduled follow-up call.
280,2864,SMS,2025-01-31,Completed,Sent lease and booking information.
281,2256,Site Visit,2025-07-11,Pending,Discussed budget and preferred location.
282,1155,SMS,2025-01-19,Failed,Sent lease and booking information.
283,404,SMS,2025-06-07,Pending,Discussed budget and preferred location.
284,2200,SMS,2026-02-23,Pending,Sent lease and booking information.
285,2102,SMS,2025-07-18,Failed,Scheduled follow-up call.
286,1697,Document Shared,2025-03-12,Pending,Customer requested more details.
287,628,Site Visit,2025-04-29,Pending,Customer requested more details.
288,587,SMS,2025-04-24,Pending,Discussed budget and preferred location.
289,1649,Email,2025-10-04,Pending,Discussed budget and preferred location.
290,1444,Call,2025-03-24,Failed,Scheduled follow-up call.
291,1446,Email,2025-04-06,Failed,Discussed budget and preferred location.
292,104,Call,2025-05-28,Failed,Discussed budget and preferred location.
293,254,Call,2026-06-14,Pending,Customer requested more details.
294,2558,Site Visit,2026-04-11,Failed,Scheduled follow-up call.
295,1497,Call,2025-08-01,Completed,Shared available property options.
296,99,WhatsApp,2025-04-07,Completed,Shared available property options.
297,2201,Site Visit,2026-04-16,Pending,Shared available property options.
298,1885,Email,2025-04-25,Completed,Discussed budget and preferred location.
299,2962,Email,2026-04-28,Pending,Discussed budget and preferred location.
300,1920,Site Visit,2025-09-10,Failed,No response from customer.
301,878,WhatsApp,2026-03-24,Pending,No response from customer.
302,338,WhatsApp,2025-08-22,Completed,Scheduled follow-up call.
303,2870,Follow-up,2026-01-17,Failed,Shared available property options.
304,957,Email,2025-11-02,Completed,Discussed budget and preferred location.
305,1705,Follow-up,2025-07-02,Pending,Shared available property options.
306,161,WhatsApp,2026-06-12,Completed,No response from customer.
307,1604,WhatsApp,2025-10-09,Failed,Discussed budget and preferred location.
308,2849,WhatsApp,2026-06-19,Pending,Scheduled follow-up call.
309,398,WhatsApp,2025-06-08,Failed,Sent lease and booking information.
310,1301,Email,2026-02-27,Failed,No response from customer.
311,816,Email,2025-12-01,Pending,Sent lease and booking information.
312,1528,Document Shared,2025-04-21,Completed,Scheduled follow-up call.
313,1920,Follow-up,2025-08-18,Failed,Sent lease and booking information.
314,1416,SMS,2025-11-30,Completed,Scheduled follow-up call.
315,1159,Call,2026-03-14,Pending,Shared available property options.
316,1219,Call,2025-08-29,Pending,Shared available property options.
317,401,WhatsApp,2025-03-22,Completed,Scheduled follow-up call.
318,640,Call,2026-01-10,Failed,Sent lease and booking information.
319,2736,Site Visit,2025-09-10,Pending,No response from customer.
320,460,WhatsApp,2026-04-18,Pending,No response from customer.
321,955,SMS,2025-12-27,Pending,No response from customer.
322,470,SMS,2025-12-14,Failed,No response from customer.
323,1046,Site Visit,2025-10-31,Failed,Customer requested more details.
324,2798,Email,2025-03-24,Completed,Customer requested more details.
325,1694,Follow-up,2025-04-30,Pending,Sent lease and booking information.
326,2086,Call,2025-02-22,Completed,Scheduled follow-up call.
327,2278,Call,2026-03-06,Failed,Sent lease and booking information.
328,563,Document Shared,2026-04-13,Pending,Shared available property options.
329,2486,SMS,2025-05-27,Failed,Scheduled follow-up call.
330,1800,SMS,2025-12-20,Pending,Discussed budget and preferred location.
331,2075,SMS,2026-02-11,Failed,No response from customer.
332,226,Email,2025-08-27,Failed,Customer requested more details.
333,798,Email,2025-07-25,Pending,Discussed budget and preferred location.
334,2332,WhatsApp,2025-11-16,Pending,No response from customer.
335,2927,Call,2026-03-28,Failed,Sent lease and booking information.
336,960,Document Shared,2026-05-23,Pending,Sent lease and booking information.
337,1505,SMS,2026-01-02,Completed,Scheduled follow-up call.
338,453,Document Shared,2025-10-03,Failed,Shared available property options.
339,816,SMS,2025-11-25,Completed,Shared available property options.
340,659,SMS,2026-02-25,Pending,Scheduled follow-up call.
341,547,WhatsApp,2026-03-29,Failed,Discussed budget and preferred location.
342,1216,SMS,2025-02-28,Completed,Sent lease and booking information.
343,17,Call,2025-09-21,Completed,No response from customer.
344,1244,WhatsApp,2025-07-12,Failed,Shared available property options.
345,2206,Site Visit,2025-02-01,Completed,Scheduled follow-up call.
346,2525,Email,2025-12-23,Completed,Discussed budget and preferred location.
347,1070,SMS,2025-05-05,Pending,Scheduled follow-up call.
348,2566,Site Visit,2025-12-17,Completed,No response from customer.
349,2147,Document Shared,2026-05-06,Failed,Scheduled follow-up call.
350,1769,Call,2026-05-07,Pending,Scheduled follow-up call.
351,1061,SMS,2025-12-12,Failed,Sent lease and booking information.
352,2328,Call,2025-07-17,Failed,Customer requested more details.
353,2545,Document Shared,2025-05-12,Pending,Shared available property options.
354,302,Site Visit,2025-05-25,Completed,Customer requested more details.
355,181,Document Shared,2026-01-06,Completed,Scheduled follow-up call.
356,607,WhatsApp,2026-01-07,Pending,Shared available property options.
357,700,Call,2025-10-17,Pending,Scheduled follow-up call.
358,993,Follow-up,2026-04-23,Pending,Shared available property options.
359,1140,Email,2025-07-24,Completed,Shared available property options.
360,191,Site Visit,2026-03-30,Failed,Shared available property options.
361,2301,Follow-up,2025-05-08,Completed,No response from customer.
362,981,Follow-up,2025-06-11,Completed,Sent lease and booking information.
363,2976,Call,2025-01-30,Failed,Discussed budget and preferred location.
364,2007,Site Visit,2025-07-16,Pending,Customer requested more details.
365,1185,Follow-up,2026-05-16,Failed,Discussed budget and preferred location.
366,128,WhatsApp,2026-04-21,Failed,Customer requested more details.
367,2066,Site Visit,2025-10-14,Failed,Discussed budget and preferred location.
368,1817,Follow-up,2025-12-22,Pending,Sent lease and booking information.
369,1759,Call,2025-10-28,Failed,Customer requested more details.
370,2614,WhatsApp,2026-05-12,Failed,No response from customer.
371,570,SMS,2026-05-29,Completed,Shared available property options.
372,1347,WhatsApp,2025-06-10,Pending,Discussed budget and preferred location.
373,1896,Site Visit,2025-05-22,Completed,Shared available property options.
374,2734,Call,2025-04-22,Failed,Shared available property options.
375,626,Email,2026-05-04,Pending,Sent lease and booking information.
376,2902,Call,2025-03-23,Pending,Discussed budget and preferred location.
377,1687,SMS,2025-03-20,Completed,Sent lease and booking information.
378,155,SMS,2025-04-05,Pending,Sent lease and booking information.
379,2538,Site Visit,2025-05-08,Failed,Scheduled follow-up call.
380,1410,Follow-up,2026-02-06,Completed,Sent lease and booking information.
381,785,Email,2026-05-09,Failed,Scheduled follow-up call.
382,246,Document Shared,2025-10-31,Pending,Shared available property options.
383,1501,Follow-up,2025-06-14,Failed,Discussed budget and preferred location.
384,1706,Document Shared,2025-07-07,Pending,Shared available property options.
385,2807,SMS,2025-08-21,Failed,Scheduled follow-up call.
386,538,WhatsApp,2025-06-14,Completed,Discussed budget and preferred location.
387,1891,Email,2025-03-21,Completed,Shared available property options.
388,1842,Email,2025-12-29,Completed,Discussed budget and preferred location.
389,921,Email,2026-02-18,Pending,No response from customer.
390,2456,Document Shared,2026-05-31,Pending,Discussed budget and preferred location.
391,525,WhatsApp,2025-03-12,Completed,Sent lease and booking information.
392,2876,SMS,2025-06-19,Failed,Scheduled follow-up call.
393,1530,SMS,2026-01-16,Completed,Scheduled follow-up call.
394,2951,Follow-up,2026-01-05,Failed,Discussed budget and preferred location.
395,36,WhatsApp,2026-06-13,Failed,Customer requested more details.
396,685,SMS,2025-01-14,Completed,Customer requested more details.
397,20,Email,2026-02-27,Pending,Scheduled follow-up call.
398,2369,WhatsApp,2025-07-25,Pending,Customer requested more details.
399,2560,Call,2025-08-31,Pending,No response from customer.
400,400,Call,2025-09-14,Completed,Discussed budget and preferred location.
401,2702,Call,2026-05-25,Completed,No response from customer.
402,972,Follow-up,2025-06-29,Pending,Scheduled follow-up call.
403,1907,Call,2025-12-15,Completed,Scheduled follow-up call.
404,2519,Site Visit,2025-06-04,Pending,Scheduled follow-up call.
405,1167,Site Visit,2025-02-26,Pending,Customer requested more details.
406,1116,Email,2025-12-09,Pending,Shared available property options.
407,834,SMS,2026-01-16,Failed,Shared available property options.
408,1824,WhatsApp,2025-05-27,Pending,Sent lease and booking information.
409,2775,Call,2025-07-09,Pending,Shared available property options.
410,1983,Email,2026-04-26,Pending,Customer requested more details.
411,854,WhatsApp,2025-03-13,Completed,Shared available property options.
412,51,Email,2025-10-08,Pending,Shared available property options.
413,575,Site Visit,2025-11-11,Failed,Sent lease and booking information.
414,1149,Site Visit,2026-05-05,Completed,Discussed budget and preferred location.
415,2198,Call,2026-01-26,Completed,Scheduled follow-up call.
416,2362,Call,2025-01-23,Completed,Shared available property options.
417,2618,WhatsApp,2026-02-01,Pending,Discussed budget and preferred location.
418,2353,WhatsApp,2025-10-25,Completed,Scheduled follow-up call.
419,1716,Site Visit,2025-05-18,Pending,Customer requested more details.
420,682,WhatsApp,2025-12-21,Pending,Scheduled follow-up call.
421,838,Call,2025-12-01,Completed,No response from customer.
422,1078,SMS,2026-05-16,Failed,Scheduled follow-up call.
423,2492,Call,2025-11-05,Pending,No response from customer.
424,2661,Document Shared,2025-06-14,Pending,Scheduled follow-up call.
425,2312,Email,2026-03-02,Completed,No response from customer.
426,1596,SMS,2026-02-17,Completed,No response from customer.
427,5,Document Shared,2025-12-27,Pending,Sent lease and booking information.
428,1127,Document Shared,2026-06-08,Failed,Discussed budget and preferred location.
429,1220,WhatsApp,2025-08-31,Pending,Discussed budget and preferred location.
430,774,Call,2025-04-10,Failed,Customer requested more details.
431,877,SMS,2026-02-25,Failed,No response from customer.
432,992,Follow-up,2025-10-10,Failed,Sent lease and booking information.
433,2932,Follow-up,2026-01-16,Completed,No response from customer.
434,47,WhatsApp,2025-11-16,Completed,No response from customer.
435,2915,Follow-up,2026-01-18,Completed,Customer requested more details.
436,2871,SMS,2025-11-16,Completed,Scheduled follow-up call.
437,2984,Follow-up,2026-03-17,Pending,Discussed budget and preferred location.
438,2704,WhatsApp,2025-06-06,Completed,Shared available property options.
439,269,Call,2025-09-06,Failed,Sent lease and booking information.
440,370,Call,2025-12-01,Completed,Sent lease and booking information.
441,636,Follow-up,2026-01-29,Pending,Shared available property options.
442,1130,Site Visit,2025-10-11,Pending,No response from customer.
443,1694,WhatsApp,2025-04-18,Completed,Scheduled follow-up call.
444,1683,WhatsApp,2025-11-24,Failed,No response from customer.
445,657,SMS,2025-05-29,Pending,Scheduled follow-up call.
446,120,Email,2025-12-07,Failed,Scheduled follow-up call.
447,831,SMS,2025-11-23,Pending,Scheduled follow-up call.
448,1811,WhatsApp,2026-04-11,Pending,Sent lease and booking information.
449,1082,Email,2025-11-30,Completed,Discussed budget and preferred location.
450,1975,Call,2025-04-13,Pending,Shared available property options.
451,1370,Follow-up,2025-10-14,Completed,No response from customer.
452,741,Call,2025-06-03,Pending,Sent lease and booking information.
453,117,Site Visit,2026-04-29,Failed,Discussed budget and preferred location.
